created_at,entry_id,Temperature,Humidity,DisconnectedTotal,RSL_out,RSL_in,RPL_rank,Hopcount,ConnectedTotal
2025-11-09T12:02:17+00:00,31,22.283,68.485,0,-67,-94,1160,4,9.45
2025-11-09T12:03:32+00:00,32,22.348,68.562,0,-70,-95,1160,4,10.67
2025-11-09T12:04:08+00:00,33,22.369,68.44,0,-73,-96,1160,4,11.4
2025-11-09T12:04:37+00:00,34,22.38,68.813,0,-69,-96,1160,4,11.87
2025-11-09T12:05:03+00:00,35,22.38,68.546,0,-66,-94,1160,4,12.33
2025-11-09T12:05:33+00:00,36,22.337,68.79,0,-66,-93,1192,4,12.83
2025-11-09T12:06:04+00:00,37,22.273,68.935,0,-67,-93,1192,4,13.28
2025-11-09T12:06:36+00:00,38,22.241,69.302,0,-67,-93,1192,4,13.88
2025-11-09T12:07:04+00:00,39,22.23,69.065,0,-67,-93,1192,4,14.35
2025-11-09T12:07:33+00:00,40,22.123,68.256,0,-65,-92,1192,4,14.83
2025-11-09T12:08:00+00:00,41,22.026,67.73,0,-66,-92,1183,4,15.28
2025-11-09T12:08:46+00:00,42,21.983,67.234,0,-66,-92,1183,4,15.75
2025-11-09T12:09:18+00:00,43,22.005,69.073,0,-66,-92,1183,4,16.5
2025-11-09T12:09:54+00:00,44,22.037,69.904,0,-67,-92,1183,4,17.07
2025-11-09T12:10:39+00:00,45,24.096,72.01,0,-68,-94,1166,4,17.63
2025-11-09T12:11:07+00:00,46,0,0,0,-67,-95,1166,4,18.38
2025-11-09T12:11:40+00:00,47,24.235,63.77,0,-66,-93,1166,4,18.88
2025-11-09T12:12:33+00:00,48,23.806,64.404,0,-73,-96,1186,4,19.73
2025-11-09T12:13:04+00:00,49,23.442,64.541,0,-67,-95,1186,4,20.27
2025-11-09T12:13:31+00:00,50,23.324,64.877,0,-65,-93,1186,4,20.78
2025-11-09T12:13:59+00:00,51,23.206,65.296,0,-65,-92,1186,4,21.23
2025-11-09T12:14:26+00:00,52,23.163,65.083,0,-65,-92,1186,4,21.72
2025-11-09T12:14:59+00:00,53,23.131,65.418,0,-76,-97,1243,4,22.25
2025-11-09T12:15:34+00:00,54,23.077,66.25,0,-75,-101,1243,4,22.73
2025-11-09T12:16:01+00:00,55,23.056,66.509,0,-68,-98,1243,4,23.28
2025-11-09T12:16:34+00:00,56,22.991,66.814,0,-68,-97,1243,4,23.78
2025-11-09T12:17:03+00:00,57,23.002,66.975,0,-67,-94,1243,4,24.28
2025-11-09T12:17:47+00:00,58,23.013,66.616,0,-65,-93,1248,4,24.83
2025-11-09T12:18:20+00:00,59,22.927,66.555,0,-66,-93,1248,4,25.5
2025-11-09T12:19:07+00:00,60,22.584,65.83,0,-69,-93,1248,4,26.27